Id,Account_Type_Description__c,AccountNumber,AccountSource,AnnualRevenue,BillingCity,BillingCountry,BillingGeocodeAccuracy,BillingLatitude,BillingLongitude,BillingPostalCode,BillingState,BillingStreet,Contract_Status__c,Description,Fax,Industry,Jigsaw,JigsawCompanyId,LastActivityDate,Name,NumberOfEmployees,OperatingHoursId,OwnerId,Ownership,ParentId,Payout_Terms__c,Phone,PhotoUrl,Rating,RecordTypeId,ShippingCity,ShippingCountry,ShippingGeocodeAccuracy,ShippingLatitude,ShippingLongitude,ShippingPostalCode,ShippingState,ShippingStreet,Sic,SicDesc,Site,TickerSymbol,Type,Website
001Ws00003ahK23IAE,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,,,,Toronto,Canada,,,,L4B 1Y3,Ontario,150 Chestnut Street,,"GBM is the worldwide leader in technology news and information on the Web and the producer of the longest-running and farthest-reaching television shows about technology. GBM's network of sites combines breakthrough interactive technology with engaging content and design and is consistently ranked as the Internet's leading content network in terms of both audience size and revenue, serving millions of users each day. The company's television programming is broadcast by the USA Network and the Sci-Fi Channel to more than 70 million households and is syndicated to broadcast television stations in the nation's top 120 markets, including the top 10 markets.",,Media,,,,Global Media,14668,,005Ws000003miUrIAI,,,,(905) 555-1212,/services/images/photo/001Ws00003ahK23IAE,,012Ws000000x75WIAQ,Toronto,Canada,,,,L4B 1Y3,Ontario,150 Chestnut Street,,,,,Customer Account,
001Ws00003ahK24IAE,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,,,100000000,New York,USA,,,,31349,NY,10 Main Rd.,,,(212) 555-5555,Manufacturing,,,,Acme,680,,005Ws000003miUrIAI,,,,(212) 555-5555,/services/images/photo/001Ws00003ahK24IAE,,012Ws000000x75WIAQ,New York,USA,,,,31349,NY,10 Main Rd.,,,,,Customer Account,
001Ws00003ahK25IAE,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,,,,San Francisco,USA,,,,94105,CA,"The Landmark @ One Market, Suite 300",,"Founded in March 1999, salesforce.com (http://www.salesforce.com) builds and delivers customer relationship management (CRM) applications as scalable online services. The salesforce.com product suite - Team Edition, Professional Edition, Enterprise Edition, Wireless Edition and Offline Edition - gives companies of all sizes a complete 360-degree view of the customer. The company's award-winning CRM solutions provide integrated online sales force automation, customer service and support management, and marketing automation applications to help companies meet the complex challenges of global customer communication. Salesforce.com has received considerable recognition in the industry, including Editors' Choice and two Five-Star ratings from PC Magazine, two Deploy Awards from InfoWorld, Red Herring 100, Upside Hot 100, Investor's Choice Award from Enterprise Outlook, Editors' Choice from TMCLabs, Top 10 CRM Implementation from Aberdeen Group, and InfoWorld's 2001 CRM Technology of the Year. Founded in 1999, salesforce.com is headquartered in San Francisco, with offices in Europe and Asia.",(415) 901-7040,Technology,,,,salesforce.com,,,005Ws000003miUrIAI,,,,(415) 901-7000,/services/images/photo/001Ws00003ahK25IAE,,012Ws000000x75WIAQ,San Francisco,USA,,,,94105,CA,"The Landmark @ One Market, Suite 300",,,,,Customer Account,http://www.salesforce.com
001Ws00003av0RgIAI,A company that owns or operates multiple restaurant brands or locations under a single corporate entity. Often responsible for managing partnerships at scale.,,,5000000,Dallas,USA,,,,75219,TX,2401 Victory Avenue,Signed,"A trendy, fast-casual dining group offering an eclectic mix of globally inspired dishes. Known for its vibrant, urban ambiance and innovative menu, Urban Eats Collective brings city vibes to every meal.",,,,,,Urban Eats Collective,500,,005Ws000003miUrIAI,,,Monthly,214-555-1010,/services/images/photo/001Ws00003av0RgIAI,,012Ws000000x75WIAQ,Dallas,USA,,,,75219,TX,2401 Victory Avenue,,,,,Restaurant Group,www.urbaneats.com
001Ws00003av0RhIAI,"A standalone business providing food or related services. Often a single location with independent ownership, such as a family-run restaurant or shop.",,,1000000,Dallas,USA,,,,75208,TX,330 West Davis Street,Signed,A neighborhood favorite specializing in hearty comfort food and classic favorites. Savory Street Co. prides itself on its warm hospitality and dishes that feel like home.,,,,,,Savory Street Co.,50,,005Ws000003miUrIAI,,,Biweekly,469-555-2020,/services/images/photo/001Ws00003av0RhIAI,,012Ws000000x75WIAQ,Dallas,USA,,,,75208,TX,330 West Davis Street,,,,,Independent Vendor,www.savorystreet.com
001Ws00003av0RiIAI,A company that owns or operates multiple restaurant brands or locations under a single corporate entity. Often responsible for managing partnerships at scale.,,,2000000,Dallas,USA,,,,75226,TX,2615 Elm Street,Pending Renewal,A modern fusion restaurant blending flavors from around the world. BiteFusion Kitchen is renowned for its creative pairings and a menu that constantly surprises and delights.,,,,,,BiteFusion Kitchen,200,,005Ws000003miUrIAI,,,Monthly,972-555-3030,/services/images/photo/001Ws00003av0RiIAI,,012Ws000000x75WIAQ,Dallas,USA,,,,75226,TX,2615 Elm Street,,,,,Restaurant Group,www.bitefusion.com
001Ws00003av0RjIAI,"A standalone business providing food or related services. Often a single location with independent ownership, such as a family-run restaurant or shop.",,,750000,Dallas,USA,,,,75212,TX,3011 Gulden Lane,Signed,"A health-conscious eatery focused on fresh, organic, and sustainable ingredients. GreenFork Bistro offers a variety of vegan, vegetarian, and gluten-free options to suit every palate.",,,,,,GreenFork Bistro,25,,005Ws000003miUrIAI,,,Weekly,214-555-4040,/services/images/photo/001Ws00003av0RjIAI,,012Ws000000x75WIAQ,Dallas,USA,,,,75212,TX,3011 Gulden Lane,,,,,Independent Vendor,www.greenforkbistro.com
001Ws00003av0RkIAI,"A standalone business providing food or related services. Often a single location with independent ownership, such as a family-run restaurant or shop.",,,500000,Dallas,USA,,,,75204,TX,2720 McKinney Avenue,Signed,"A classic deli reimagined with a gourmet twist. FlavorTrail Deli offers handcrafted sandwiches, fresh salads, and signature soups, all made with premium ingredients.",,,,,,FlavorTrail Deli,15,,005Ws000003miUrIAI,,,Biweekly,469-555-5050,/services/images/photo/001Ws00003av0RkIAI,,012Ws000000x75WIAQ,Dallas,USA,,,,75204,TX,2720 McKinney Avenue,,,,,Independent Vendor,www.flavortraildeli.com
001Ws00003av0RlIAI,A company that owns or operates multiple restaurant brands or locations under a single corporate entity. Often responsible for managing partnerships at scale.,,,4000000,Dallas,USA,,,,75201,TX,2800 Routh Street,Signed,A lively marketplace-style restaurant featuring a rotating menu of local specialties and international cuisine. MetroMunch is perfect for adventurous food lovers seeking variety.,,,,,,MetroMunch Marketplace,300,,005Ws000003miUrIAI,,,Monthly,972-555-6060,/services/images/photo/001Ws00003av0RlIAI,,012Ws000000x75WIAQ,Dallas,USA,,,,75201,TX,2800 Routh Street,,,,,Restaurant Group,www.metromunch.com
001Ws00003av0RmIAI,A company that owns or operates multiple restaurant brands or locations under a single corporate entity. Often responsible for managing partnerships at scale.,,,3000000,Dallas,USA,,,,75204,TX,2140 North Hall Street,Pending Renewal,A fine-dining establishment offering expertly crafted dishes with a focus on local and seasonal ingredients. Artisan Plates & Co. is the go-to destination for elegant meals and special occasions.,,,,,,Artisan Plates & Co.,150,,005Ws000003miUrIAI,,,Monthly,214-555-7070,/services/images/photo/001Ws00003av0RmIAI,,012Ws000000x75WIAQ,Dallas,USA,,,,75204,TX,2140 North Hall Street,,,,,Restaurant Group,www.artisanplates.com
