Id,Active__c,Description__c,LastActivityDate,Menu_Display_Name__c,Name,Storefront__c
a04Ws000000JyJpIAK,true,"Explore a refined dinner menu featuring elevated dishes, crafted with the finest ingredients for a sophisticated dining experience.",,Dinner Menu,Menu-00000002,a09Ws00000AJixHIAT
a04Ws000000JyN3IAK,true,,,Dinner Menu,Menu-00000003,a09Ws00000AJiIvIAL
a04Ws000000JyN4IAK,true,,,Dinner Menu,Menu-00000004,a09Ws00000AJixFIAT
a04Ws000000JyN5IAK,true,,,Dinner Menu,Menu-00000005,a09Ws00000AJixGIAT
a04Ws000000JygPIAS,true,,,Dinner Menu,Menu-00000016,a09Ws00000AJiIxIAL
a04Ws000000JygQIAS,true,,,Dinner Menu,Menu-00000017,a09Ws00000AJiIzIAL
a04Ws000000JygRIAS,true,,,Dinner Menu,Menu-00000018,a09Ws00000AJiJ1IAL
a04Ws000000JygSIAS,true,,,Dinner Menu,Menu-00000019,a09Ws00000AJiJ4IAL
a04Ws000000JygTIAS,true,,,Dinner Menu,Menu-00000020,a09Ws00000AJixJIAT
a04Ws000000Jyi1IAC,true,,,Dinner Menu,Menu-00000021,a09Ws00000AJiIyIAL
a04Ws000000Jyi2IAC,true,,,Dinner Menu,Menu-00000022,a09Ws00000AJiJ0IAL
a04Ws000000Jyi3IAC,true,,,Dinner Menu,Menu-00000023,a09Ws00000AJiJ2IAL
a04Ws000000Jyi4IAC,true,,,Dinner Menu,Menu-00000024,a09Ws00000AJiJ3IAL
a04Ws000000Jyq5IAC,true,,,Dinner Menu,Menu-00000029,a09Ws00000AJixMIAT
a04Ws000000Jyq6IAC,true,,,Dinner Menu,Menu-00000030,a09Ws00000AJixNIAT
a04Ws000000Jyq7IAC,true,,,Dinner Menu,Menu-00000031,a09Ws00000AJixOIAT
a04Ws000000Jyq8IAC,true,,,Dinner Menu,Menu-00000032,a09Ws00000AJixPIAT
a04Ws000000JzJ7IAK,true,,,Dinner Menu,Menu-00000034,a09Ws00000AJiIwIAL
a04Ws000000JzJ8IAK,true,,,Dinner Menu,Menu-00000035,a09Ws00000AJixIIAT
a04Ws000000JzJ9IAK,true,,,Dinner Menu,Menu-00000036,a09Ws00000AJixKIAT
a04Ws000000JzJAIA0,true,,,Dinner Menu,Menu-00000037,a09Ws00000AJixLIAT
a04Ws000000JzpNIAS,true,,,Lunch Menu,Menu-00000039,a09Ws00000AJixFIAT
a04Ws000000JzpOIAS,true,,,Lunch Menu,Menu-00000040,a09Ws00000AJixHIAT
