Id,Closing_Time__c,Day_of_Week__c,LastActivityDate,Name,Notes__c,Opening_Time__c,Storefront__c
a07Ws00000GcE0uIAF,10:00 PM,Monday,,SH-00000000,Hours set for Urban Table on Monday,08:00 AM,a09Ws00000AJiIvIAL
a07Ws00000GcE0vIAF,10:00 PM,Tuesday,,SH-00000001,Hours set for Urban Table on Tuesday,08:00 AM,a09Ws00000AJiIvIAL
a07Ws00000GcE0wIAF,10:00 PM,Wednesday,,SH-00000002,Hours set for Urban Table on Wednesday,08:00 AM,a09Ws00000AJiIvIAL
a07Ws00000GcE0xIAF,10:00 PM,Thursday,,SH-00000003,Hours set for Urban Table on Thursday,08:00 AM,a09Ws00000AJiIvIAL
a07Ws00000GcE0yIAF,11:00 PM,Friday,,SH-00000004,Hours set for Urban Table on Friday,08:00 AM,a09Ws00000AJiIvIAL
a07Ws00000GcE0zIAF,11:00 PM,Saturday,,SH-00000005,Hours set for Urban Table on Saturday,09:00 AM,a09Ws00000AJiIvIAL
a07Ws00000GcE10IAF,08:00 PM,Sunday,,SH-00000006,Hours set for Urban Table on Sunday,09:00 AM,a09Ws00000AJiIvIAL
a07Ws00000GcE11IAF,10:00 PM,Monday,,SH-00000007,Hours set for The Savory Spot on Monday,08:00 AM,a09Ws00000AJiIwIAL
a07Ws00000GcE12IAF,10:00 PM,Tuesday,,SH-00000008,Hours set for The Savory Spot on Tuesday,08:00 AM,a09Ws00000AJiIwIAL
a07Ws00000GcE13IAF,10:00 PM,Wednesday,,SH-00000009,Hours set for The Savory Spot on Wednesday,08:00 AM,a09Ws00000AJiIwIAL
a07Ws00000GcE14IAF,10:00 PM,Thursday,,SH-00000010,Hours set for The Savory Spot on Thursday,08:00 AM,a09Ws00000AJiIwIAL
a07Ws00000GcE15IAF,11:00 PM,Friday,,SH-00000011,Hours set for The Savory Spot on Friday,08:00 AM,a09Ws00000AJiIwIAL
a07Ws00000GcE16IAF,11:00 PM,Saturday,,SH-00000012,Hours set for The Savory Spot on Saturday,09:00 AM,a09Ws00000AJiIwIAL
a07Ws00000GcE17IAF,09:00 PM,Sunday,,SH-00000013,Hours set for The Savory Spot on Sunday,09:00 AM,a09Ws00000AJiIwIAL
a07Ws00000GcE18IAF,10:00 PM,Monday,,SH-00000014,Hours set for Fusion Bites on Monday,08:00 AM,a09Ws00000AJiIxIAL
a07Ws00000GcE19IAF,10:00 PM,Tuesday,,SH-00000015,Hours set for Fusion Bites on Tuesday,08:00 AM,a09Ws00000AJiIxIAL
a07Ws00000GcE1AIAV,10:00 PM,Wednesday,,SH-00000016,Hours set for Fusion Bites on Wednesday,08:00 AM,a09Ws00000AJiIxIAL
a07Ws00000GcE1BIAV,10:00 PM,Thursday,,SH-00000017,Hours set for Fusion Bites on Thursday,08:00 AM,a09Ws00000AJiIxIAL
a07Ws00000GcE1CIAV,11:00 PM,Friday,,SH-00000018,Hours set for Fusion Bites on Friday,08:00 AM,a09Ws00000AJiIxIAL
a07Ws00000GcE1DIAV,11:00 PM,Saturday,,SH-00000019,Hours set for Fusion Bites on Saturday,09:00 AM,a09Ws00000AJiIxIAL
a07Ws00000GcE1EIAV,09:00 PM,Sunday,,SH-00000020,Hours set for Fusion Bites on Sunday,09:00 AM,a09Ws00000AJiIxIAL
a07Ws00000GcE1FIAV,10:00 PM,Monday,,SH-00000021,Hours set for The Green Fork on Monday,08:00 AM,a09Ws00000AJiIyIAL
a07Ws00000GcE1GIAV,10:00 PM,Tuesday,,SH-00000022,Hours set for The Green Fork on Tuesday,08:00 AM,a09Ws00000AJiIyIAL
a07Ws00000GcE1HIAV,10:00 PM,Wednesday,,SH-00000023,Hours set for The Green Fork on Wednesday,08:00 AM,a09Ws00000AJiIyIAL
a07Ws00000GcE1IIAV,10:00 PM,Thursday,,SH-00000024,Hours set for The Green Fork on Thursday,08:00 AM,a09Ws00000AJiIyIAL
a07Ws00000GcE1JIAV,11:00 PM,Friday,,SH-00000025,Hours set for The Green Fork on Friday,08:00 AM,a09Ws00000AJiIyIAL
